Customer_ID,Age,Gender,Location,Annual_Income,Total_Purchases,Total_Spending,Average_Order_Value,Purchase_Frequency,Recency,Product_Category,Online_Orders
C0001,38,Female,Delhi,57889.93,23,18705.03,813.26,23,30,Fashion,9
C0002,42,Female,Bengaluru,63762.96,13,8617.39,662.88,13,48,Electronics,2
C0003,35,Male,Mumbai,33137.78,3,2357.93,785.98,3,102,Fashion,1
C0004,54,Male,Delhi,92467.79,5,9589.24,1917.85,5,68,Fashion,0
C0005,63,Female,Bengaluru,85057.65,21,23854.48,1135.93,21,12,Fashion,4
C0006,42,Female,Chennai,61172.76,14,6338.27,452.73,14,41,Electronics,2
C0007,34,Female,Chennai,28513.84,7,1976.15,282.31,7,89,Fashion,1
C0008,40,Male,Chennai,72331.26,6,11087.99,1848.0,6,78,Fashion,2
C0009,66,Female,Delhi,66550.21,24,21175.23,882.3,24,1,Grocery,5
C0010,18,Non-binary,Chennai,49184.17,12,6304.53,525.38,12,49,Home,2
C0011,36,Male,Hyderabad,29564.69,5,1788.25,357.65,5,129,Electronics,2
C0012,48,Male,Chennai,62456.05,11,8295.33,754.12,11,74,Fashion,2
C0013,33,Female,Hyderabad,86947.04,20,13334.96,666.75,20,10,Electronics,4
C0014,39,Female,Delhi,56693.72,14,6999.4,499.96,14,48,Fashion,3
C0015,34,Female,Delhi,45151.56,2,1833.06,916.53,2,115,Electronics,1
C0016,60,Female,Mumbai,60419.28,6,9461.67,1576.94,6,96,Home,2
C0017,46,Male,Chennai,88103.91,23,15053.02,654.48,23,21,Fashion,7
C0018,52,Female,Delhi,47938.86,11,9091.41,826.49,11,58,Electronics,3
C0019,70,Female,Hyderabad,43503.89,2,2910.76,1455.38,2,104,Grocery,0
C0020,34,Female,Bengaluru,60472.01,8,10469.54,1308.69,8,57,Fashion,5
C0021,43,Male,Delhi,79113.18,22,17485.13,794.78,22,19,Home,5
C0022,20,Male,Hyderabad,48149.9,9,7174.67,797.19,9,56,Home,4
C0023,49,Male,Hyderabad,27469.79,1,2506.24,2506.24,1,103,Fashion,1
C0024,42,Male,Delhi,66572.58,9,9982.25,1109.14,9,89,Home,3
C0025,35,Female,Delhi,103413.2,24,8791.48,366.31,24,21,Grocery,5
C0026,18,Female,Mumbai,47837.65,10,9554.97,955.5,10,49,Fashion,4
C0027,46,Male,Bengaluru,27136.25,3,3401.92,1133.97,3,111,Electronics,3
C0028,38,Male,Chennai,46538.17,7,7745.29,1106.47,7,79,Grocery,6
C0029,41,Male,Mumbai,84391.06,24,21199.74,883.32,24,23,Electronics,7
C0030,47,Male,Delhi,57626.85,14,6260.42,447.17,14,49,Grocery,1
C0031,25,Female,Delhi,30081.42,4,2429.59,607.4,4,114,Electronics,0
C0032,59,Female,Delhi,67599.91,8,12042.39,1505.3,8,108,Home,7
C0033,36,Male,Bengaluru,82084.28,24,17551.76,731.32,24,28,Grocery,5
C0034,25,Female,Bengaluru,50574.7,8,6145.57,768.2,8,30,Electronics,5
C0035,42,Female,Mumbai,34588.59,5,2199.67,439.93,5,117,Fashion,2
C0036,31,Male,Mumbai,66426.56,5,7045.41,1409.08,5,98,Fashion,5
C0037,31,Male,Mumbai,95928.68,21,15611.04,743.38,21,4,Fashion,5
C0038,27,Male,Hyderabad,58373.75,13,7783.86,598.76,13,56,Grocery,5
C0039,28,Male,Bengaluru,34872.52,4,2328.35,582.09,4,117,Grocery,1
C0040,47,Male,Delhi,55201.97,9,11585.74,1287.3,9,48,Grocery,3
C0041,37,Male,Chennai,90566.08,20,18166.6,908.33,20,22,Grocery,6
C0042,42,Male,Hyderabad,57950.7,10,8300.35,830.04,10,56,Grocery,8
C0043,59,Female,Mumbai,37377.08,4,2278.42,569.6,4,82,Fashion,1
C0044,29,Male,Hyderabad,64960.12,8,9987.25,1248.41,8,84,Home,2
C0045,25,Male,Bengaluru,94618.31,21,13167.72,627.03,21,12,Fashion,7
C0046,48,Female,Chennai,45839.1,10,7856.34,785.63,10,57,Grocery,0
C0047,39,Female,Mumbai,28496.24,1,2681.04,2681.04,1,99,Home,0
C0048,23,Male,Delhi,83357.61,8,10182.58,1272.82,8,64,Grocery,7
C0049,54,Male,Chennai,93903.5,21,13268.55,631.84,21,32,Electronics,8
C0050,39,Female,Chennai,60040.55,10,5454.93,545.49,10,62,Electronics,5
C0051,44,Female,Bengaluru,41962.38,5,2049.94,409.99,5,97,Electronics,2
